#            Az_Offset    LEFT_FILT    RIGHT_FILT
#                   1D           1J            1J
#                  deg        count         count
  -1.006130596921E+01         1137          1375
  -9.034637961770E+00         1219          1654
  -8.037986364304E+00         1077          1314
  -7.035792153985E+00         1059          1306
  -6.033611048788E+00         1231          1529
  -5.031444929374E+00         1991          2523
  -4.059304702456E+00         3668          5289
  -3.041603109843E+00         5817          7033
  -2.083912842595E+00         8483         10372
  -1.051798707876E+00        11475         13782
  -1.085676619029E-01        13143         16011
   8.846539632818E-01        14035         17044
   1.833432491506E+00        13114         16270
   2.876636349056E+00        10498         13419
   3.770964748830E+00         7579          9915
   4.844150527157E+00         4752          6392
   5.762883123585E+00         2705          4151
   6.846051368823E+00         1491          2047
   7.824781478900E+00         1090          1559
   8.823503601868E+00         1044          1344
