            El_Offset    LEFT_FILT    RIGHT_FILT
                   1D           1J            1J
                  deg        count         count
  -1.000658769428E+01         1187          1491
  -9.000277022741E+00         1397          1713
  -8.004307480235E+00         1301          1628
  -7.007946467926E+00         1308          1582
  -6.001561719929E+00         1211          1490
  -5.005516200656E+00         1382          1927
  -3.999436452800E+00         2413          3173
  -3.002975234121E+00         4924          6928
  -2.006840330151E+00         8519         11252
  -1.000329161625E+00        12245         14775
  -3.793803267563E-03        13666         16366
   9.924225918272E-01        11782         14487
   1.999008322050E+00         8207         10201
   2.995279917438E+00         4445          5600
   4.001915728314E+00         2107          2915
   4.998242407183E+00         1328          1663
   5.994593071805E+00         1160          1453
   7.000977998026E+00         1262          1601
   7.997716531014E+00         1198          1515
   8.994479083121E+00         1184          1498
