              Azimuth    LEFT_FILT    RIGHT_FILT
                   1D           1J            1J
                  deg        count         count
   1.606000000000E+02          880          1443
   1.658000000000E+02          966          1412
   1.709300000000E+02          885          1676
   1.759500000000E+02          872          1120
   1.811100000000E+02         1327          1601
   1.862100000000E+02          854          1279
   1.913500000000E+02          863          2336
   1.964700000000E+02          891          2129
   2.016100000000E+02          830          1428
   2.067300000000E+02          853          1120
   2.118500000000E+02          906          2298
   2.169900000000E+02          915          1140
   2.221100000000E+02          928          1288
   2.272400000000E+02          909          1262
   2.323600000000E+02          862          1136
