            Elevation    LEFT_FILT    RIGHT_FILT
                   1D           1J            1J
                  deg        count         count
   1.053000000000E+01         1867          3284
   1.552000000000E+01         1036          1657
   2.051000000000E+01          936          1494
   2.549000000000E+01          925          1455
   3.048000000000E+01          878          1187
   3.546000000000E+01          896          1484
   4.045000000000E+01          866          1171
   4.544000000000E+01          934          1348
   5.043000000000E+01          922          1321
   5.541000000000E+01          937          1302
   6.040000000000E+01          856          1155
   6.538000000000E+01          918          1230
   7.036000000000E+01          946          1283
   7.535000000000E+01         1184          2332
   8.034000000000E+01         1657          2335
