emission energy,singlet,doublet,triplet,quartet,quintet
7036,0.008916,0.00912,0.0086497,0.0093254,0.0096371
7036.1,0.0090266,0.0092208,0.0087755,0.0095715,0.0097408
7036.2,0.0091632,0.0093087,0.0089709,0.0098884,0.0098446
7036.3,0.0092997,0.009395,0.0091672,0.010188,0.0099483
7036.4,0.0094389,0.0095217,0.0093658,0.010366,0.010051
7036.5,0.0095811,0.0096961,0.0095652,0.010439,0.010152
7036.6,0.009724,0.0098775,0.009738,0.010532,0.010254
7036.7,0.0098655,0.010193,0.0098832,0.010732,0.010364
7036.8,0.010003,0.010527,0.010028,0.010937,0.010495
7036.9,0.010137,0.010726,0.010172,0.011169,0.010625
7037,0.010272,0.01077,0.010316,0.011424,0.010756
7037.1,0.010399,0.010799,0.010541,0.011683,0.010848
7037.2,0.010522,0.011018,0.01085,0.011954,0.01094
7037.3,0.010644,0.011263,0.0111,0.012217,0.011031
7037.4,0.010775,0.011422,0.011226,0.012418,0.011198
7037.5,0.010915,0.01148,0.011287,0.012565,0.011396
7037.6,0.011057,0.011525,0.01144,0.012721,0.011595
7037.7,0.011202,0.011916,0.011692,0.012925,0.011854
7037.8,0.011352,0.012356,0.011924,0.013133,0.012257
7037.9,0.011506,0.012761,0.012113,0.013359,0.01266
7038,0.01166,0.013125,0.012279,0.013602,0.013063
7038.1,0.011775,0.013484,0.012444,0.013843,0.013405
7038.2,0.011865,0.013581,0.012606,0.014069,0.013747
7038.3,0.011954,0.013643,0.012805,0.0143,0.014089
7038.4,0.01207,0.01375,0.01308,0.01457,0.014412
7038.5,0.012222,0.01391,0.013395,0.014874,0.014722
7038.6,0.012385,0.01408,0.013699,0.01515,0.015032
7038.7,0.012558,0.014436,0.013991,0.015282,0.01532
7038.8,0.012751,0.014817,0.014241,0.015418,0.015574
7038.9,0.012954,0.015042,0.014405,0.015575,0.015828
7039,0.013156,0.015095,0.014526,0.01575,0.016082
7039.1,0.013377,0.015128,0.014746,0.015895,0.016337
7039.2,0.01361,0.015254,0.015071,0.015865,0.016592
7039.3,0.013843,0.015395,0.015383,0.015864,0.016847
7039.4,0.014071,0.015464,0.015669,0.016077,0.01712
7039.5,0.014294,0.015456,0.015941,0.016467,0.0174
7039.6,0.014514,0.015439,0.016204,0.016871,0.017681
7039.7,0.014747,0.01561,0.016458,0.017361,0.017984
7039.8,0.015015,0.015807,0.016775,0.017821,0.018338
7039.9,0.015302,0.016108,0.017219,0.018076,0.018693
7040,0.01559,0.016525,0.017727,0.018155,0.019048
7040.1,0.015833,0.016956,0.017966,0.018296,0.019372
7040.2,0.016047,0.017329,0.017924,0.01878,0.019697
7040.3,0.016261,0.017694,0.017972,0.019266,0.020022
7040.4,0.01648,0.017965,0.018203,0.019755,0.020322
7040.5,0.016703,0.018133,0.018526,0.020248,0.020612
7040.6,0.016927,0.018293,0.018883,0.020701,0.020902
7040.7,0.017155,0.018729,0.019274,0.020934,0.021275
7040.8,0.017391,0.019202,0.019649,0.021198,0.021841
7040.9,0.017632,0.019512,0.019988,0.021672,0.022408
7041,0.017873,0.019642,0.020309,0.022321,0.022975
7041.1,0.018116,0.01975,0.020558,0.022923,0.023667
7041.2,0.01836,0.020117,0.020732,0.02325,0.02436
7041.3,0.018604,0.020517,0.02091,0.023604,0.025052
7041.4,0.018851,0.020897,0.021097,0.024137,0.025657
7041.5,0.019102,0.02125,0.021289,0.024829,0.026203
7041.6,0.019355,0.021604,0.021652,0.025421,0.02675
7041.7,0.019601,0.022181,0.022192,0.025471,0.027283
7041.8,0.01983,0.022788,0.022645,0.025564,0.027787
7041.9,0.020049,0.023106,0.022918,0.025948,0.028291
7042,0.020268,0.02309,0.023098,0.026583,0.028795
7042.1,0.020516,0.023036,0.023246,0.027186,0.029226
7042.2,0.020782,0.023247,0.023363,0.027604,0.029658
7042.3,0.021049,0.023493,0.023515,0.02806,0.030089
7042.4,0.021296,0.023736,0.023741,0.028769,0.030613
7042.5,0.02152,0.023973,0.024007,0.029704,0.031176
7042.6,0.021738,0.024211,0.024331,0.030528,0.031738
7042.7,0.021956,0.024481,0.024718,0.030712,0.032375
7042.8,0.022169,0.024756,0.025056,0.030914,0.033185
7042.9,0.022381,0.025,0.025291,0.031289,0.033994
7043,0.022592,0.025207,0.025473,0.031814,0.034804
7043.1,0.022848,0.02541,0.025829,0.032307,0.035543
7043.2,0.023132,0.025821,0.02637,0.032622,0.036283
7043.3,0.023417,0.02626,0.026838,0.03297,0.037022
7043.4,0.023716,0.0269,0.027156,0.033537,0.037613
7043.5,0.024031,0.027771,0.027395,0.034293,0.038141
7043.6,0.024349,0.02867,0.02764,0.035028,0.038668
7043.7,0.024668,0.028471,0.027892,0.035637,0.039215
7043.8,0.024984,0.028115,0.028146,0.036217,0.039808
7043.9,0.0253,0.028106,0.028404,0.036606,0.040401
7044,0.025615,0.028512,0.028665,0.036824,0.040994
7044.1,0.025948,0.028966,0.028928,0.037027,0.041504
7044.2,0.026293,0.029122,0.029193,0.037149,0.042015
7044.3,0.026638,0.029239,0.029633,0.037318,0.042525
7044.4,0.027001,0.029516,0.030436,0.037808,0.043087
7044.5,0.027384,0.029982,0.031426,0.038581,0.04367
7044.6,0.027772,0.030468,0.032064,0.039261,0.044253
7044.7,0.028138,0.030731,0.032334,0.039435,0.044765
7044.8,0.028439,0.030965,0.032643,0.039656,0.045109
7044.9,0.028706,0.031096,0.033032,0.040201,0.045452
7045,0.028973,0.031106,0.033463,0.041036,0.045796
7045.1,0.029254,0.0311,0.033873,0.041776,0.046108
7045.2,0.029546,0.031975,0.03426,0.041966,0.04642
7045.3,0.029837,0.032968,0.034659,0.042157,0.046731
7045.4,0.030158,0.033415,0.035082,0.042347,0.04701
7045.5,0.03051,0.033257,0.035514,0.042536,0.047275
7045.6,0.030871,0.033031,0.035646,0.042731,0.04754
7045.7,0.031217,0.033101,0.035466,0.042955,0.047687
7045.8,0.031519,0.03321,0.035372,0.043157,0.04756
7045.9,0.031797,0.03353,0.035449,0.043214,0.047433
7046,0.032075,0.034081,0.035613,0.043151,0.047305
7046.1,0.032419,0.034655,0.035928,0.043118,0.047177
7046.2,0.032806,0.03437,0.036401,0.043255,0.047048
7046.3,0.033194,0.033971,0.036794,0.043372,0.046919
7046.4,0.03355,0.034004,0.037022,0.043356,0.046844
7046.5,0.03387,0.034528,0.037166,0.043227,0.046793
7046.6,0.03418,0.035109,0.037312,0.043098,0.046742
7046.7,0.034465,0.035468,0.037462,0.042972,0.046613
7046.8,0.034675,0.035797,0.037606,0.042836,0.046301
7046.9,0.034845,0.035858,0.037737,0.042628,0.04599
7047,0.035014,0.035631,0.037861,0.042363,0.045679
7047.1,0.035287,0.03537,0.038048,0.042105,0.045675
7047.2,0.035632,0.035872,0.0383,0.041898,0.045672
7047.3,0.035976,0.036476,0.038625,0.041678,0.045668
7047.4,0.036346,0.03677,0.039105,0.041375,0.045414
7047.5,0.036746,0.036694,0.039667,0.040998,0.045053
7047.6,0.037154,0.036573,0.039843,0.04074,0.044692
7047.7,0.037567,0.037214,0.039612,0.041162,0.044376
7047.8,0.038,0.037959,0.039576,0.041542,0.044166
7047.9,0.038442,0.038278,0.03994,0.041627,0.043957
7048,0.038885,0.03813,0.040499,0.041466,0.043747
7048.1,0.039389,0.037934,0.040715,0.041202,0.043585
7048.2,0.039935,0.038135,0.040576,0.040396,0.043422
7048.3,0.040481,0.038389,0.040552,0.039709,0.04326
7048.4,0.040983,0.038758,0.040773,0.039828,0.043145
7048.5,0.041437,0.039266,0.041123,0.040669,0.04305
7048.6,0.041877,0.039791,0.041406,0.041315,0.042954
7048.7,0.042313,0.03974,0.041617,0.040833,0.042864
7048.8,0.042737,0.039603,0.041867,0.040355,0.04278
7048.9,0.043157,0.039779,0.0422,0.040022,0.042697
7049,0.043576,0.040329,0.042577,0.03982,0.042614
7049.1,0.044015,0.04092,0.043008,0.039727,0.042499
7049.2,0.044467,0.041277,0.043494,0.040212,0.042385
7049.3,0.04492,0.041604,0.043908,0.04069,0.04227
7049.4,0.045374,0.041911,0.044175,0.041123,0.042197
7049.5,0.045829,0.042196,0.044368,0.041517,0.042142
7049.6,0.046285,0.042479,0.044656,0.041862,0.042086
7049.7,0.046742,0.042282,0.045044,0.041922,0.042047
7049.8,0.047202,0.042019,0.045393,0.041953,0.042047
7049.9,0.047663,0.042265,0.045665,0.041794,0.042047
7050,0.048124,0.043058,0.045897,0.041482,0.042047
7050.1,0.048513,0.043915,0.046173,0.041238,0.041942
7050.2,0.048852,0.04391,0.046492,0.041392,0.041837
7050.3,0.049192,0.043791,0.046761,0.041546,0.041732
7050.4,0.0496,0.044367,0.046927,0.041705,0.041682
7050.5,0.050084,0.04569,0.047043,0.041869,0.041654
7050.6,0.050588,0.047099,0.047291,0.04202,0.041626
7050.7,0.051093,0.046681,0.047679,0.042089,0.041635
7050.8,0.051596,0.046001,0.04812,0.042177,0.041731
7050.9,0.0521,0.046057,0.048665,0.042394,0.041826
7051,0.052603,0.046948,0.049263,0.042722,0.041921
7051.1,0.053074,0.047935,0.049857,0.043109,0.042005
7051.2,0.053523,0.048347,0.050449,0.043831,0.042088
7051.3,0.053971,0.048684,0.051063,0.044543,0.042171
7051.4,0.054454,0.049279,0.051724,0.045194,0.042302
7051.5,0.054984,0.050155,0.052408,0.045794,0.042464
7051.6,0.05553,0.051059,0.053016,0.046378,0.042626
7051.7,0.056063,0.051364,0.053544,0.046875,0.042823
7051.8,0.056556,0.051591,0.054197,0.047354,0.043099
7051.9,0.057028,0.051707,0.055102,0.047711,0.043376
7052,0.0575,0.051702,0.056135,0.047964,0.043652
7052.1,0.05789,0.051682,0.057146,0.048272,0.043948
7052.2,0.058222,0.052623,0.058135,0.048886,0.044244
7052.3,0.058555,0.053691,0.059155,0.049454,0.044539
7052.4,0.058946,0.054752,0.060242,0.049702,0.044952
7052.5,0.059401,0.055803,0.06136,0.049672,0.045415
7052.6,0.059874,0.056849,0.062197,0.049921,0.045878
7052.7,0.060346,0.057702,0.062745,0.05165,0.046388
7052.8,0.060817,0.058529,0.063469,0.053278,0.047007
7052.9,0.061288,0.059372,0.064553,0.054231,0.047627
7053,0.061758,0.060233,0.065822,0.054608,0.048247
7053.1,0.062332,0.061096,0.067077,0.055127,0.049029
7053.2,0.062977,0.062184,0.068316,0.056462,0.049811
7053.3,0.063621,0.063305,0.069472,0.057802,0.050593
7053.4,0.064339,0.064049,0.070458,0.059062,0.051528
7053.5,0.065139,0.064355,0.071353,0.060251,0.052528
7053.6,0.06596,0.064624,0.072051,0.061347,0.053527
